doi,journal,is_relevant,topic_words,title,abstract,authors,explanation
10.5194/acp-24-9459-2024,Atmospheric Chemistry and Physics,True,"['atmospheric composition', 'air quality monitoring', 'secondary organic aerosol (SOA)', 'chemical ionization mass spectrometer (CIMS)', 'satellite observations', 'aerosol formation']",Formation and temperature dependence of highly oxygenated organic molecules (HOMs) from Δ3-carene ozonolysis,"∆3-carene is abundantly emitted from vegetation, but its atmospheric oxidation chemistry has received limited attention. We explored highly oxygenated organic molecule (HOM) formation from ∆3-carene ozonolysis in chambers and investigated the impact of temperature and relative humidity on HOM formation. Our findings provide new insights into ∆3-carene oxidation pathways and their potential to impact atmospheric aerosols. 
 Δ3-carene is a prominent monoterpene in the atmosphere, contributing significantly to secondary organic aerosol (SOA) formation. However, knowledge about Δ3-carene oxidation pathways, particularly regarding their ability to form highly oxygenated organic molecules (HOMs), is still limited. In this study, we present HOM measurements during Δ3-carene ozonolysis under various conditions in two simulation chambers. We identified numerous HOMs (monomers: C7−10H10−18O6−14; dimers: C17−20H24−34O6−18) using a chemical ionization mass spectrometer (CIMS). Δ3-carene ozonolysis yielded higher HOM concentrations than α-pinene, with a distinct distribution, indicating differences in formation pathways. All HOM signals decreased considerably at lower temperatures, reducing the estimated molar HOM yield from ∼ 3 % at 20 °C to ∼ 0.5 % at 0 °C. Interestingly, the temperature change altered the HOM distribution, increasing the observed dimer-to-monomer ratios from roughly 0.8 at 20 °C to 1.5 at 0 °C. HOM monomers with six or seven O atoms condensed more efficiently onto particles at colder temperatures, while monomers with nine or more O atoms and all dimers condensed irreversibly even at 20 °C. Using the gas- and particle-phase chemistry kinetic multilayer model ADCHAM, we were also able to reproduce the experimentally observed HOM composition, yields, and temperature dependence.",Yuanyuan Luo;Ditte Thomsen;Emil Mark Iversen;Pontus Roldin;Jane Tygesen Skønager;Linjie Li;Michael Priestley;Henrik B. Pedersen;Mattias Hallquist;Merete Bilde;Marianne Glasius;Mikael Ehn,该研究主要关注的是三环卡烯（Δ3-carene）在大气中的氧化反应，以及由此产生的高氧化有机分子（HOMs）的形成过程和温度依赖性。研究者利用模拟舱和化学电离质谱仪（CIMS）对三环卡烯臭氧氧化反应进行了研究，发现三环卡烯的氧化反应会产生大量的HOMs，这些HOMs可以影响大气气溶胶的形成。研究还发现，温度变化会影响HOMs的生成和分布，进而影响大气气溶胶的组成和性质。该研究结果对理解大气气溶胶的形成机制和预测空气质量具有重要意义。
10.5194/acp-24-9435-2024,Atmospheric Chemistry and Physics,True,"['deep convection systems', 'aerosol-cloud-precipitation interaction', 'spaceborne lidar', 'radar observations', 'cloud radiative effect', 'precipitation', 'atmospheric instability', 'wind shear', 'aerosol invigoration', 'cloud base temperature']","Distinct structure, radiative effects, and precipitation characteristics of deep convection systems in the Tibetan Plateau compared to the tropical Indian Ocean","This study identifies deep convection systems (DCSs), including deep convection cores and anvils, over the Tibetan Plateau (TP) and tropical Indian Ocean (TO). The DCSs over the TP are less frequent, showing narrower and thinner cores and anvils compared to those over the TO. TP DCSs show a stronger longwave cloud radiative effect at the surface and in the low-level atmosphere. Distinct aerosol–cloud–precipitation interaction is found in TP DCSs, probably due to the cold cloud bases. 
 Using spaceborne lidar and radar observations, this study identifies deep convection systems (DCSs), including deep convection cores (DCCs) and anvils, over the Tibetan Plateau (TP) and tropical Indian Ocean (TO) and finds that DCSs over the TP are less frequent, exhibiting narrower and thinner DCCs and anvils compared to those over the TO. The thinner DCCs over the TP exert weaker radiative cooling effects at the top of atmosphere (TOA) compared to the TO. But, the shortwave TOA cloud radiative effect (CRE) of TP anvils is stronger than that of the TO possibly due to more densely packed cloud tops over the TP. It results in a stronger TOA CRE of DCSs over the TP than that of TO. In particular, the longwave CRE of DCSs over the TP is notably greater at surface and low-level atmosphere due to the distinct lower temperature and less water vapour. The width of DCSs shows a positive correlation with wind shear and atmospheric instability, and the underlying mechanisms are discussed. We also find that the impact of aerosols on cloud top heights and precipitation displays significant discrepancies between the two regions. It is because that the aerosol invigoration effect is less efficient on the TP DCSs, mainly attributed to the significantly colder cloud base. Due to competition between invigoration and direct/semi-direct radiative effects of aerosols, the correlation between precipitation and aerosols over the TP is not obvious. However, precipitation in the TO experiences invigoration followed by suppression with increasing aerosols, due to the dominance of aerosol radiative effects and enhancement entrainment under polluted conditions.",Yuxin Zhao;Jiming Li;Deyu Wen;Yarong Li;Yuan Wang;Jianping Huang,该研究利用空间激光雷达和雷达观测，对比分析了青藏高原和热带印度洋上空深对流系统的结构、辐射效应和降水特征。研究发现，青藏高原深对流系统频率较低，对流核心和砧状云更窄更薄，且对流核心顶部辐射冷却效应较弱，但砧状云的短波辐射效应更强。青藏高原深对流系统在表面和低层大气中表现出更强的长波辐射效应，这可能与较低的温度和较少的水汽有关。此外，研究还发现，青藏高原深对流系统中气溶胶对云顶高度和降水的影響与热带印度洋存在显著差异，这可能是由于青藏高原深对流系统云底温度较低，气溶胶的增强效应效率较低。
10.5194/essd-2024-299,Earth System Science Data Discussions,False,"['soil properties', 'land surface modeling', 'hydrological', 'ecological analyses', 'earth system modeling']",A China dataset of soil properties for land surface modeling (version 2),"In this study, we developed the second version of China's high-resolution soil information grid using legacy soil samples and advanced machine learning. This version predicts over 20 soil properties at six depths, providing accurate soil variation maps across China. It outperforms previous versions and global products, offering valuable data for hydrological, ecological analyses, and earth system modeling, enhancing understanding of soil roles in environmental processes. 
 Accurate and high-resolution spatial soil information is crucial for efficient and sustainable land use, management, and conservation. Since the establishment of digital soil mapping (DSM) and the GlobalSoilMap working group, significant advances have been made in spatial soil information globally. However, accurately predicting soil variation over large and complex areas with limited samples remains a challenge, especially for China, which has diverse soil landscapes. To address this challenge, we utilized 11,209 representative multi-source legacy soil profiles (including the Second National Soil Survey of China, World Soil Information Service, First National Soil Survey of China, and regional databases) and high-resolution soil-forming environment characterization. Using advanced Quantile Regression Forest algorithms and a high-performance parallel computing strategy, we developed comprehensive maps of 23 soil physical, chemical and fertility properties at six standard depth layers from 0 to 2 meters in China with a 90 m spatial resolution (China dataset of soil properties for land surface modeling version 2, CSDLv2). Data-splitting and independent samples validation strategies were employed to evaluate the accuracy of the predicted maps quality. The results showed that the predicted maps were significantly more accurate and detailed compared to traditional soil type linkage methods (i.e., CSDLv1, the first version of the dataset), SoilGrids 2.0, and HWSD 2.0 products, effectively representing the spatial variation of soil properties across China. The prediction accuracy of most soil properties at the 0–5 cm depth interval ranged from good to moderate, with Model Efficiency Coefficients for most soil properties ranging from 0.75 to 0.32 during data-splitting validation and from 0.88 to 0.25 during independent sample validation. The wide range between the 5 % lower and 95 % upper prediction limits may indicate substantial room for improvement in current predictions. The relative importance of environmental covariates in predictions varied with soil properties and depth, indicating the complexity of interactions among multiple factors in the soil formation processes. As the soil profiles used in this study mainly originate from the Second National Soil Survey of China during 1970s and 1980s, they could provide new perspectives of soil changes together with existing maps based on 2010s soil profiles. The findings make important contributions to the GlobalSoilMap project and can also be used for regional Earth system modeling and land surface modeling to better represent the role of soil in hydrological and biogeochemical cycles in China. This dataset is freely available and can be accessed at https://doi.org/10.11888/Terre.tpdc.301235 (Shi et al, 2024).",Gaosong Shi;Wenye Sun;Wei Shangguan;Zhongwang Wei;Hua Yuan;Ye Zhang;Hongbin Liang;Lu Li;Xiaolin Sun;Danxi Li;Feini Huang;Qingliang Li;Yongjiu Dai,该研究主要关注中国土壤属性的高分辨率空间信息，利用机器学习方法构建了中国土壤属性数据集（CSDLv2），该数据集包含了23种土壤物理、化学和肥力属性，并可用于水文、生态分析和地球系统建模。该研究与大气环境遥感技术关系不大，主要集中在土壤科学领域。
10.5194/gmd-17-6379-2024,Geoscientific Model Development,True,"['aerosol optical properties', 'aerosol mixing states', 'atmospheric composition', 'satellite observations', 'air quality monitoring', 'remote sensing', 'Mie inversion', 'aerosol chemical composition', 'cloud-nucleating properties', 'radiation budget']",AeroMix v1.0.1: a Python package for modeling aerosol optical properties and mixing states,"A Python successor to the aerosol module of the OPAC model, named AeroMix, has been developed, with enhanced capabilities to better represent real atmospheric aerosol mixing scenarios. AeroMix’s performance in modeling aerosol mixing states has been evaluated against field measurements, substantiating its potential as a versatile aerosol optical model framework for next-generation algorithms to infer aerosol mixing states and chemical composition. 
 Assessing aerosol mixing states, which primarily depend on aerosol chemical compositions, is indispensable to estimate direct and indirect effects of aerosols. The limitations of the direct measurements of aerosol chemical composition and mixing states necessitate modeling approaches to infer the aerosol mixing states. The Optical Properties of Aerosols and Clouds (OPAC) model has been extensively utilized to construct optically equivalent aerosol chemical compositions from measured aerosol optical properties using Mie inversion. However, the representation of real atmospheric aerosol mixing scenarios in OPAC has perennially been challenged by the exclusive assumption of external mixing. A Python successor to the aerosol module of the OPAC model is developed, named AeroMix, with novel capabilities to (1) model externally and core–shell mixed aerosols, (2) simulate optical properties of aerosol mixtures constituted by any number of aerosol components, and (3) define aerosol composition and relative humidity in up to six vertical layers. Designed as a versatile open-source aerosol optical model framework, AeroMix is tailored for sophisticated inversion algorithms aimed at modeling aerosol mixing states and also their physical and chemical properties. AeroMix's performance is demonstrated by modeling the probable aerosol mixing states over Kanpur (urban) and the Bay of Bengal (marine) in south Asia. The modeled mixing states are consistent with independent measurements using a single-particle soot photometer (SP2) and transmission electron microscopy (TEM), substantiating the potential capability of AeroMix to model complex aerosol mixing scenarios involving multiple internally mixed components in diverse environments. This work contributes a valuable tool for modeling aerosol mixing states to assess their impact on cloud-nucleating properties and radiation budget.",Sam P. Raj;Puna Ram Sinha;Rohit Srivastava;Srinivas Bikkina;Damu Bala Subrahamanyam,该论文介绍了一个名为 AeroMix 的 Python 软件包，它扩展了 OPAC 模型的 aerosol 模块，能够更准确地模拟真实大气气溶胶混合状态。AeroMix 可以模拟外部混合和核壳混合气溶胶，并模拟由任意数量的气溶胶组分组成的混合物的光学性质。论文还展示了 AeroMix 在模拟印度坎普尔（城市）和孟加拉湾（海洋）的气溶胶混合状态方面的能力，并与单颗粒碳黑光度计 (SP2) 和透射电子显微镜 (TEM) 的独立测量结果相一致。AeroMix 的开发为模拟气溶胶混合状态提供了有价值的工具，有助于评估气溶胶对云凝结核性质和辐射收支的影响。
10.5194/gmd-17-6365-2024,Geoscientific Model Development,False,"['tropical rainfall', ""Earth's albedo"", 'large-scale circulation', 'climate sensitivity', 'Inter-Tropical Convergence Zone (ITCZ)', 'climate models', 'surface heat fluxes', 'ITCZ width', 'climate sensitivity', 'model intercomparison project (MIP)']",Impact of ITCZ width on global climate: ITCZ-MIP,"The width of the tropical rain belt affects many aspects of our climate, yet we do not understand what controls it. To better understand it, we present a method to change it in numerical model experiments. We show that the method works well in four different models. The behavior of the width is unexpectedly simple in some ways, such as how strong the winds are as it changes, but in other ways, it is more complicated, especially how temperature increases with carbon dioxide. 
 The width of the Inter-Tropical Convergence Zone (ITCZ) affects tropical rainfall, Earth's albedo, large-scale circulation, and climate sensitivity. To better understand the ITCZ width and its effects on global climate, we present a protocol to force changes in ITCZ width in climate models. Starting from an aquaplanet configuration with a slab ocean, adding surface heat fluxes in the deep tropics forces the ITCZ to narrow, and subtracting them causes it to widen. The protocol successfully generates changes in ITCZ width in all four climate models used in this study. ITCZ width in each model responds linearly to forcing magnitude and sign. Comparing across the four climate models, a response to varying ITCZ width that is remarkably consistent among models is the ITCZ strength, which is greater the narrower the ITCZ. On the other hand, the effect of varying ITCZ width on climate sensitivity is divergent among our four models, varying even in sign. Results from this pilot study highlight the connections between surface fluxes, ITCZ width, and the wider climate. A comprehensive model intercomparison project (MIP) has the potential to advance understanding of both the physical processes shaping ITCZ width and its influence on remote atmospheric circulations and global climate.",Angeline G. Pendergrass;Michael P. Byrne;Oliver Watt-Meyer;Penelope Maher;Mark J. Webb,这篇论文主要关注热带雨带宽度对全球气候的影响，研究了热带雨带宽度变化对气候系统的影响，包括降水、反照率、大气环流和气候敏感性。论文提出了一种在气候模型中强制改变热带雨带宽度的协议，并使用该协议在四个不同的气候模型中进行了模拟实验。实验结果表明，热带雨带宽度变化对气候系统的影响存在差异，例如，热带雨带宽度变化对气候敏感性的影响在不同模型中甚至表现出相反的趋势。论文认为，需要进行更深入的模型比较研究，以更好地理解热带雨带宽度变化对全球气候的影响。
10.1038/s41467-024-51503-6,Nature Communications,False,"['ocean mixing', 'internal waves', 'turbulent energy', 'climate prediction', 'ocean general circulation models']",Interacting internal waves explain global patterns of interior ocean mixing,"The authors use interacting internal wave theory and global observational databases to calculate the turbulent energy rate available for ocean mixing, which is a critical metric for climate prediction that is still lacking rigorous understanding. 
 Across the stable density stratification of the abyssal ocean, deep dense water is slowly propelled upward by sustained, though irregular, turbulent mixing. The resulting mean upwelling determines large-scale oceanic circulation properties like heat and carbon transport. In the ocean interior, this turbulent mixing is caused mainly by breaking internal waves: generated predominantly by winds and tides, these waves interact nonlinearly, transferring energy downscale, and finally become unstable, break and mix the water column. This paradigm, long parameterized heuristically, still lacks full theoretical explanation. Here, we close this gap using wave-wave interaction theory with input from both localized and global observations. We find near-ubiquitous agreement between first-principle predictions and observed mixing patterns in the global ocean interior. Our findings lay the foundations for a wave-driven mixing parameterization for ocean general circulation models that is entirely physics-based, which is key to reliably represent future climate states that could differ substantially from today’s. The authors use interacting internal wave theory and global observational databases to calculate the turbulent energy rate available for ocean mixing, which is a critical metric for climate prediction that is still lacking rigorous understanding.",Giovanni Dematteis;Arnaud Le Boyer;Friederike Pollmann;Kurt L. Polzin;Matthew H. Alford;Caitlin B. Whalen;Yuri V. Lvov,这篇论文主要研究的是海洋内部的混合现象，特别是内部波的相互作用如何导致海洋内部的湍流混合。研究者利用内部波相互作用理论和全球观测数据来计算海洋混合所需的湍流能量，这对于气候预测至关重要。论文的重点在于理解海洋内部的物理过程，而非大气环境遥感技术。
10.1038/s41467-024-51590-5,Nature Communications,False,[],Graph Fourier transform for spatial omics representation and analyses of complex organs,"SpaGFT is a spatial omics representation method. It identifies spatially variable genes, enhances gene imputation, detects immunological regions, and characterises variations in secondary lymphoid organs. This method improves predictive power in wide downstream machine-learning tasks. 
 Spatial omics technologies decipher functional components of complex organs at cellular and subcellular resolutions. We introduce Spatial Graph Fourier Transform (SpaGFT) and apply graph signal processing to a wide range of spatial omics profiling platforms to generate their interpretable representations. This representation supports spatially variable gene identification and improves gene expression imputation, outperforming existing tools in analyzing human and mouse spatial transcriptomics data. SpaGFT can identify immunological regions for B cell maturation in human lymph nodes Visium data and characterize variations in secondary follicles using in-house human tonsil CODEX data. Furthermore, it can be integrated seamlessly into other machine learning frameworks, enhancing accuracy in spatial domain identification, cell type annotation, and subcellular feature inference by up to 40%. Notably, SpaGFT detects rare subcellular organelles, such as Cajal bodies and Set1/COMPASS complexes, in high-resolution spatial proteomics data. This approach provides an explainable graph representation method for exploring tissue biology and function. SpaGFT is a spatial omics representation method. It identifies spatially variable genes, enhances gene imputation, detects immunological regions, and characterises variations in secondary lymphoid organs. This method improves predictive power in wide downstream machine-learning tasks.",Yuzhou Chang;Jixin Liu;Yi Jiang;Anjun Ma;Yao Yu Yeo;Qi Guo;Megan McNutt;Jordan E. Krull;Scott J. Rodig;Dan H. Barouch;Garry P. Nolan;Dong Xu;Sizun Jiang;Zihai Li;Bingqiang Liu;Qin Ma,本文介绍了一种名为SpaGFT的空间组学表示方法，该方法利用图信号处理技术对各种空间组学平台进行分析，生成可解释的表示。SpaGFT可以识别空间变异基因，提高基因表达推断的准确性，识别免疫区域，并表征次级淋巴器官的变化。该方法可以集成到其他机器学习框架中，提高空间域识别、细胞类型注释和亚细胞特征推断的准确性。SpaGFT在分析人类和老鼠的空间转录组数据方面表现出色，并能识别高分辨率空间蛋白质组数据中的罕见亚细胞器，如Cajal体和Set1/COMPASS复合物。总体而言，SpaGFT是一种可解释的图表示方法，用于探索组织生物学和功能。
,Remote Sensing of Environment,True,"['ocean wave spectra', 'synthetic aperture radar', 'spaceborne remote sensing', 'atmospheric environmental remote sensing']",Deep learning for retrieving omni-directional ocean wave spectra from spaceborne synthetic aperture radar,,Ke Wu;Xiao-Ming Li,该论文研究利用合成孔径雷达（SAR）从太空获取全方位海洋波谱信息，这属于大气环境遥感技术中的一个分支，因为海洋波谱受大气条件影响，而SAR数据可以用来反演大气参数。
,Remote Sensing of Environment,True,"['drought', 'remote sensing', 'satellite', 'fused datasets', 'spatial and temporal patterns', 'urbanization']",Urbanization-induced spatial and temporal patterns of local drought revealed by high-resolution fused remotely sensed datasets,,Shuzhe Huang;Siqi Wang;Jing Chen;Chao Wang;Xiang Zhang;Jiefeng Wu;Chunlong Li;Aminjon Gulakhmadov;Dev Niyogi;Nengcheng Chen,这篇论文研究了城市化对局部干旱时空模式的影响，并利用高分辨率融合遥感数据来揭示这种影响。研究使用了卫星数据，并分析了城市化对干旱的时空变化的影响。
,Remote Sensing of Environment,False,[],Global mapping of human-transformed dike-pond systems,,Yang Xu;Lian Feng;Hongwei Fang;Xiao-Peng Song;Fabian Gieseke;Ankit Kariryaa;Stefan Oehmcke;Luke Gibson;Xiating Jiang;Ruimin Lin;R. Iestyn Woolway;Chunmiao Zheng;Martin Brandt;Rasmus Fensholt,这篇论文的标题和摘要表明它与人类改造的堤塘系统有关，这是一种水利工程，与大气环境遥感技术没有直接关系。论文可能关注的是这些系统的地理分布、生态影响或社会经济意义，而不是大气成分、卫星观测或空气质量监测。
