doi,is_relevant,journal,explanation,topic_words,authors,title,abstract
10.1088/1748-9326/adaa8a,True,Environmental Research Letters,这篇研究论文利用卫星观测数据（1985年至今）和统计模型，研究了全球平均海表温度（GMSST）的变化趋势。结果表明，GMSST的上升速率正在加快，这与地球能量收支的上升趋势有关。研究量化了GMSST的增加与累积能量之间的关系，并预测未来GMSST的上升速度可能快于过去几十年的线性外推结果。该研究强调了减少化石燃料燃烧以减缓全球变暖的紧迫性。总的来说，该研究与大气环境遥感技术密切相关，因为它利用卫星观测数据来研究气候变化，并对地球的能量收支和海表温度变化进行了分析。,"['Sea surface temperature', 'Satellite observations', 'Climate change', ""Earth's energy imbalance"", 'Global warming']",Christopher J Merchant;Richard P Allan;Owen Embury,Quantifying the acceleration of multidecadal global sea surface warming driven by Earth’s energy imbalance,"Global mean sea surface temperature (GMSST) is a fundamental diagnostic of ongoing climate change, yet there is incomplete understanding of multi-decadal changes in warming rate and year-to-year variability. Exploiting satellite observations since 1985 and a statistical model incorporating drivers of variability and change, we identify an increasing rate of rise in GMSST. This accelerating ocean surface warming is physically linked to an upward trend in Earth’s energy imbalance (EEI). We quantify that GMSST has increased by 0.54 0.07 K for each GJ m–2 of accumulated energy, equivalent to 0.17 ± 0.02 K decade‒1 (W m‒2)‒1. Using the statistical model to isolate the trend from interannual variability, the underlying rate of change of GMSST rises in proportion with Earth’s energy accumulation from 0.06 K decade–1 during 1985–89 to 0.27 K decade–1 for 2019–23. While variability associated with the El Niño Southern Oscillation triggered the exceptionally high GMSSTs of 2023 and early 2024, 44% (90% confidence interval: 35%–52%) of the +0.22 K difference in GMSST between the peak of the 2023/24 event and that of the 2015/16 event is unexplained unless the acceleration of the GMSST trend is accounted for. Applying indicative future scenarios of EEI based on recent trends, GMSST increases are likely to be faster than would be expected from linear extrapolation of the past four decades. Our results provide observational evidence that the GMSST increase inferred over the past 40 years will likely be exceeded within the next 20 years. Policy makers and wider society should be aware that the rate of global warming over recent decades is a poor guide to the faster change that is likely over the decades to come, underscoring the urgency of deep reductions in fossil-fuel burning."
10.5194/acp-25-1105-2025,True,Atmospheric Chemistry and Physics,这篇论文研究了1850年到2014年间大气中一氧化碳浓度的变化，重点关注的是利用格陵兰和南极洲的冰芯记录与全球化学气候模型的模拟结果进行对比分析。研究发现，模型在模拟北半球1920年到1975年间一氧化碳浓度增长速率方面存在偏差，这可能与一氧化碳排放因子估算的不确定性有关。南半球的模型模拟结果与观测结果较为一致，支持了CMIP6生物质燃烧一氧化碳排放清单的可靠性。该研究使用了冰芯记录作为一种大气环境遥感技术手段，间接反映了过去大气中一氧化碳的浓度，并与全球模型进行对比，以评估模型的准确性和改进对过去大气成分的理解。虽然没有直接使用卫星观测数据，但研究结果对改进大气成分分析模型和评估空气质量具有重要意义，属于大气环境遥感相关研究范畴。,"['Carbon Monoxide', 'Atmospheric Composition', 'Ice Core Analysis', 'Global Chemistry-Climate Models', 'Air Quality', 'Preindustrial Atmosphere', 'Anthropogenic Emissions']",Xavier Faïn;Sophie Szopa;Vaishali Naïk;Patricia Martinerie;David M. Etheridge;Rachael H. Rhodes;Cathy M. Trudinger;Vasilii V. Petrenko;Kévin Fourteau;Philip Place,Preindustrial-to-present-day changes in atmospheric carbon monoxide: agreement and gaps between ice archives and global model reconstructions,"Carbon monoxide (CO) plays a crucial role in the atmosphere's oxidizing capacity. In this study, we analyse how historical (1850–2014) [CO] outputs from state-of-the-art global chemistry–climate models over Greenland and Antarctica are able to capture both absolute values and trends recorded in multi-site ice archives. A disparity in [CO] growth rates emerges in the Northern Hemisphere between models and observations from 1920–1975 CE, possibly linked to uncertainties in CO emission factors. 
 Global chemistry–climate models (CCMs) play an important role in assessing the climate and air pollution implications of aerosols and chemically reactive gases. Evaluating these models under past conditions and constraining historical sources and sinks necessitate reliable records of atmospheric mixing ratios spanning preindustrial times. Such precious records were recently obtained for carbon monoxide (CO), documenting for the first time the evolution of this reactive compound over the industrial era. In this study, we compare the simulated atmospheric surface CO mixing ratios ([CO]) from two different sets of chemistry–climate models and emissions within the frameworks of CMIP5 and of CMIP6 (Coupled Model Intercomparison Project Phases 5 and 6) to recent bipolar ice archive reconstructions for the period spanning 1850 to the present. We analyse how historical (1850–2014) [CO] outputs from 16 ACCMIP (Atmospheric Chemistry and Climate Model Intercomparison Project) models and 7 AerChemMIP (Aerosol Chemistry Model Intercomparison Project) models over Greenland and Antarctica are able to capture both absolute values and trends recorded in multi-site ice archives. While most models underestimate [CO] at northern high latitudes, a reduction in this bias is observed between the ACCMIP and the AerChemMIP exercise. Over the 1980–2010 CE period (common era; all subsequent years in the paper are reported in CE), trends in ice archive and firn air observations and AerChemMIP outputs align remarkably well at northern and southern high latitudes, indicating improved quantification of anthropogenic CO emissions and the main CO sink (OH oxidation) compared to ACCMIP. From 1850 to 1980, AerChemMIP models and observations consistently show increasing [CO] in both the Northern Hemisphere (NH) and Southern Hemisphere (SH), suggesting a robust understanding of the CO budget evolution. However, a divergence in the [CO] growth rate emerges in the NH between models and observations over the 1920–1980 period, attributed to uncertainties in CO emission factors (EFs), particularly EFs for the RCO (residential, commercial, and other) and transportation sectors, although we cannot totally rule out the possibility that the CO record based on the Greenland ice archives may be biased high by CO chemical production processes occurring in the ice prior to the measurements (i.e. in situ CO production). In the Southern Hemisphere, AerChemMIP models simulate an increase in atmospheric [CO] from 1850 to 1980 that closely reproduces the observations (22 ± 10 ppb and 13 ± 7 ppb, respectively). Such agreement supports CMIP6 biomass burning CO emission inventories, which do not reveal a peak in CO emissions in the late 19th century. Furthermore, both SH models and observations reveal an accelerated growth rate in [CO] during 1945–1980 relative to 1850–1945, likely linked to increased anthropogenic transportation emissions."
10.5194/acp-25-1145-2025,True,Atmospheric Chemistry and Physics,这篇论文研究了南极四个不同地区（包括海岸和内陆）一年中气溶胶粒径分布的季节性变化。研究发现，不同地区的表面类型和气团来源对气溶胶的组成和数量有显著影响。例如，沿海地区受海冰和开阔海洋的影响较大，新粒子形成较多；而内陆地区则更多地受到大气传输和老化过程的影响。研究利用k-means聚类分析将气溶胶粒径分布数据分为六类，并分析了不同类型气溶胶的时空分布特征。该研究强调了理解南极地区地理差异对认识气溶胶来源和气候模式至关重要，这与大气环境遥感技术，特别是地面空气质量监测和大气成分分析密切相关，可以为改进全球气候模型中气溶胶辐射强迫的不确定性提供数据支持。,"['Aerosol size distributions', 'Antarctic atmospheric composition', 'Air quality monitoring', 'Seasonal cycle of aerosols', 'Ground-based measurements']",James Brean;David C. S. Beddows;Eija Asmi;Aki Virkkula;Lauriane L. J. Quéléver;Mikko Sipilä;Floortje Van Den Heuvel;Thomas Lachlan-Cope;Anna Jones;Markus Frey;Angelo Lupi;Jiyeon Park;Young Jun Yoon;Rolf Weller;Giselle L. Marincovich;Gabriela C. Mulena;Roy M. Harrison;Manuel Dall'Osto,Multiple eco-regions contribute to the seasonal cycle of Antarctic aerosol size distributions,"Our results emphasise how understanding the geographical variation in surface types across the Antarctic is key to understanding secondary aerosol sources. 
 In order to reduce the uncertainty of aerosol radiative forcing in global climate models, we need to better understand natural aerosol sources which are important to constrain the current and pre-industrial climate. Here, we analyse particle number size distributions (PNSDs) collected during a year (2015) across four coastal and inland Antarctic research bases (Halley, Marambio, Dome C and King Sejong). We utilise k-means cluster analysis to separate the PNSD data into six main categories. “Nucleation” and “bursting” PNSDs occur 28 %–48 % of the time between sites, most commonly at the coastal sites of Marambio and King Sejong where air masses mostly come from the west and travel over extensive regions of sea ice, marginal ice and open ocean and likely arise from new particle formation. “Aitken high”, “Aitken low” and “bimodal” PNSDs occur 37 %–68 % of the time, most commonly at Dome C on the Antarctic Plateau, and likely arise from atmospheric transport and ageing from aerosol originating likely in both the coastal boundary layer and free troposphere. “Pristine” PNSDs with low aerosol concentrations occur 12 %–45 % of the time, most commonly at Halley,  located at low altitudes and far from the coastal melting ice and influenced by air masses from the west. Not only the sea spray primary aerosols and gas to particle secondary aerosol sources, but also the different air masses impacting the research stations should be kept in mind when deliberating upon different aerosol precursor sources across research stations. We infer that both primary and secondary components from pelagic and sympagic regions strongly contribute to the annual seasonal cycle of Antarctic aerosols. Our simultaneous aerosol measurements stress the importance of the variation in atmospheric biogeochemistry across the Antarctic region."
10.5194/amt-18-509-2025,True,Atmospheric Measurement Techniques,这篇论文介绍了一种名为SKYDEW的基于珀耳帖元件的冷却镜面湿度计，用于测量对流层和平流层水汽。文章详细描述了仪器的研制、测试和数据处理过程，包括在不同条件下进行的实验结果以及与其他测量仪器（例如无线电探空仪上的相对湿度传感器、低温露点湿度计和Aura微波临边探测器）的比对结果。研究结果表明，SKYDEW能够可靠地测量高达25公里高度的大气水汽，为气候监测和大气成分分析提供了重要的观测数据。其研究与大气环境遥感技术密切相关，特别是卫星观测和大气成分分析，因为SKYDEW的测量结果可以与卫星数据进行比对，以验证和改进卫星遥感算法，并提高对大气水汽分布的认识。,"['water vapor', 'stratospheric water vapor', 'tropospheric water vapor', 'chilled-mirror hygrometer', 'atmospheric composition', 'remote sensing', 'satellite observations', 'Aura Microwave Limb Sounder (MLS)', 'climate monitoring']",Takuji Sugidachi;Masatomo Fujiwara;Kensaku Shimizu;Shin-Ya Ogino;Junko Suzuki;Ruud J. Dirksen,"Development of a Peltier-based chilled-mirror hygrometer, SKYDEW, for tropospheric and lower-stratospheric water vapor measurements","A Peltier-based chilled-mirror hygrometer, SKYDEW, has been developed to measure tropospheric and stratospheric water vapor. Continuous accurate measurements of water vapor are essential for climate monitoring. More than 40 soundings with SKYDEW have been conducted since 2011 to evaluate the performance. The result of soundings at tropical and midlatitudes demonstrated that SKYDEW is able to measure up to an altitude of 20–25 km for daytime soundings and above 25 km for nighttime soundings. 
 We have developed a Peltier-based non-cryogenic chilled-mirror hygrometer named SKYDEW to measure water vapor from the surface to the stratosphere. Several chamber experiments were conducted to investigate the characteristics and performance of the instrument under various conditions. The stability of the feedback controller that maintains the condensate on the mirror depends on the controller setting, the condensate condition, and the frost point in ambient air. The results of condensate observation by a microscope and proportional-integral-derivative (PID) tuning in a chamber were used to determine the PID parameters of the controller such that slight oscillations of the scattered light signal from the mirror and mirror temperature are retained. This allows for the detection of steep gradients in the humidity profile, which are otherwise not detected because of the slower response. The oscillation of the raw mirror temperature is smoothed with a golden point method that selects the equilibrium point of the frost layer. We further describe the details of the data processing and the uncertainty estimation for SKYDEW measurements in terms of the Global Climate Observing System (GCOS) Reference Upper-Air Network (GRUAN) requirements. The calibration uncertainty of the mirror temperature measurement is < 0.1 K for the entire temperature range from −95 to 40 °C. The total measurement uncertainty of SKYDEW measurements can exceed 0.5 K in regions where large oscillations of the mirror temperature remain.Intercomparisons with relative humidity (RH) sensors on radiosondes, the cryogenic frost point hygrometer (CFH), and the Aura Microwave Limb Sounder (MLS) were performed at various latitudes in the Northern Hemisphere to evaluate the performance of SKYDEW. These results show that SKYDEW can reliably measure atmospheric water vapor up to 25 km altitude. Data from several SKYDEW and CFH measurements predominantly agree within their respective uncertainties, although a systematic difference of ∼ 0.5 K between SKYDEW and CFH was found in the stratosphere, the reason for which is unknown. SKYDEW shows good agreement with Aura MLS for profiles that are not affected by contamination."
10.5194/essd-17-277-2025,True,Earth System Science Data,这篇论文研究了船舶排放清单，使用了先进的建模技术，构建了一个高时空分辨率的全球船舶排放清单数据集（0.1°×0.1°），涵盖2013年和2016-2021年。该数据集包含四种温室气体和五种空气污染物的排放数据，数据精度高，可用于多种科学研究。研究利用AIS数据，结合船舶技术参数、排放因子等，模拟了船舶的排放情况。结果显示，2021年全球船舶排放了大量的CO2、SO2、NOx、PM2.5等污染物，并分析了不同船型、船龄和海域的排放特征。该研究与大气环境遥感技术密切相关，因为船舶排放是影响大气成分的重要因素，而卫星观测和空气质量监测可以用来验证和补充该研究的数据。研究结果可用于改进大气成分分析模型，提高空气质量监测的精度，并为制定船舶减排政策提供数据支持。,"['Greenhouse gases', 'Air pollutants', 'CO2', 'SO2', 'NOx', 'PM2.5', 'Black carbon', 'Satellite observations', 'Air quality monitoring', 'Atmospheric composition analysis', 'Emission inventory', 'Shipping emissions']",Wen Yi;Xiaotong Wang;Tingkun He;Huan Liu;Zhenyu Luo;Zhaofeng Lv;Kebin He,The high-resolution global shipping emission inventory by the Shipping Emission Inventory Model (SEIM),"This study presents a detailed global dataset on ship emissions, covering the years 2013 and 2016–2021, using advanced modeling techniques. The dataset includes emissions data for four types of greenhouse gases and five types of air pollutants. The data, available for research, offer valuable insights into ship emission spatiotemporal patterns by vessel type and age, providing a solid data foundation for fine-scale scientific research and shipping emission mitigation. 
 The high-resolution ship emission inventory serves as a crucial dataset for various disciplines including atmospheric science, marine science, and environmental management. Here, we present a global high-spatiotemporal-resolution ship emission inventory at a resolution of 0.1° × 0.1° for the years 2013 and 2016–2021, generated by the state-of-the-art Shipping Emission Inventory Model (SEIMv2.2). Initially, the annual 30 billion Automatic Identification System (AIS) data underwent extensive cleaning to ensure data validity and accuracy in temporal and spatial distribution. Subsequently, integrating real-time vessel positions and speeds from AIS data with static technical parameters, emission factors, and other computational parameters, SEIM simulated ship emissions on a ship-by-ship, signal-by-signal basis. Finally, the results were aggregated and analyzed. In 2021, the ship activity dataset established based on AIS data covered 109 300 vessels globally (101 400 vessels reported by the United Nations Conference on Trade and Development). Concerning the major air pollutants and greenhouse gases, global ships emitted 847.2×106 t of CO2, 2.3×106 t of SO2, 16.1×106 t of NOx, 791.2 kt of CO, 737.3 kt of HC (hydrocarbon), 415.5 kt of primary PM2.5, 61.6 kt of BC (black carbon), 210.3 kt of CH4, and 45.1 kt of N2O in 2021, accounting for 3.2 % of SO2, 14.2 % of NOx, and 2.3 % of CO2 emissions from all global anthropogenic sources, based on the Community Emissions Data System (CEDS). Due to the implementation of fuel-switching policies, global ship emissions of SO2 and primary PM2.5 saw a significant reduction of 81.3 % and 76.5 % in 2021 compared to 2019, respectively. According to the inventory results, the composition of vessel types contributing to global ship emissions remained relatively stable through the years, with container ships consistently contributing ∼ 30 % of global ship emissions. Regarding vessel age distribution, the emission contribution of vessels built before 2000 (without Tier standards) has been declining, dropping to 10.2 % in 2021, suggesting that even a complete phase-out of these vessels would have limited potential for reducing NOx emissions in the short term. On the other hand, the emission contribution of vessels built after 2016 (meeting Tier III standard) kept increasing, reaching 13.3 % in 2021. Temporally, global ship emissions exhibited minimal daily fluctuations. Spatially, high-resolution emission characteristics of different vessel types were delineated. Patterns of ship emission contributions by different types of vessels vary among maritime regions, with container ships predominant in the North and South Pacific, bulk carriers predominant in the South Atlantic, and oil tankers prevalent in the Arabian Sea. The distribution characteristics of ship emissions and intensity also vary significantly across different maritime regions. Our dataset, which is accessible at https://doi.org/10.5281/zenodo.10869014 (Wen et al., 2024), provides a daily breakdown by vessel type and age; it is available for broad research purposes, and it will provide a solid data foundation for fine-scale scientific research and shipping emission mitigation."
10.5194/essd-2024-599,True,Earth System Science Data Discussions,这篇论文研究的是利用卫星遥感数据和陆面模型来生成高分辨率的土壤湿度数据集。研究使用了SMAP卫星数据，并将其同化到Noah-MP陆面模型中，生成了覆盖美国东部地区1公里分辨率的土壤湿度数据。该数据集经过多种地面观测数据的验证，精度较高，尤其是在模拟干旱条件下的土壤湿度方面表现出色。研究结果表明，改进土壤类型参数，特别是粘土的模拟，可以进一步提高土壤湿度估算的精度。总的来说，这项研究利用遥感技术提高了土壤湿度数据的时空分辨率和精度，这对于理解土壤水分动态、干旱监测和改进气候模型等方面具有重要意义。,"['Soil moisture', 'SMAP satellite', 'Land surface model', 'Remote sensing', 'Drought monitoring', 'Evapotranspiration']",Sheng-Lun Tai;Zhao Yang;Brian Gaudet;Koichi Sakaguchi;Larry Berg;Colleen Kaul;Yun Qian;Ye Liu;Jerome Fast,A 1 km soil moisture data over eastern CONUS generated through assimilating SMAP data into the Noah-MP land surface model,"Our study created a high-resolution soil moisture dataset for the eastern U.S. by integrating satellite data with a land surface model and advanced algorithms, achieving 1-km scale analyses. Validated against multiple networks and datasets, it demonstrated superior accuracy. This dataset is vital for understanding soil moisture dynamics, especially during droughts, and highlights the need for improved modeling of clay soils to refine future predictions. 
 An improved fine-scale soil moisture (SM) dataset at 1-km grid spacing, covering much of the eastern continental U.S., was generated by assimilating 9-km SMAP SM data into the v4.0.1 Noah-MP land surface model. The assimilation, conducted using the Ensemble Kalman Filter algorithm within NASA’s Land Information System, involved 12 ensemble members. The SM analysis for 2016 was fully validated against in-situ observations from four different networks and compared with four other existing datasets. Results indicate that this SM analysis surpasses other datasets in top-layer SM distribution, including a machine learning-based product, despite all SM estimates being less heterogeneous than observed. The analysis of anomalous errors suggests that large similarity in intrinsic errors is likely due to overlapping data sources among the selected SM datasets. By assessing the product using the ARM SGP data, we show that soil temperature and surface heat fluxes are concurrently simulated in good accuracy. A specific investigation into the 2016 southeastern U.S. drought response further indicates drier conditions and higher evapotranspiration estimates compared to GLEAMv4.1. Notably, large errors are associated with grids having clay soil textures, highlighting the need for refined model treatments for specific soil types to further improve SM estimates."
10.5194/gmd-18-483-2025,True,Geoscientific Model Development,这篇论文研究了如何利用高分辨率卫星观测数据（例如Sentinel-5P卫星上的TROPOMI仪器观测的二氧化氮NO2数据）进行大气环境监测。论文的核心在于构建“超级观测值”（superobservations），即将高分辨率的卫星观测数据聚合到与大气化学模型分辨率相匹配的尺度上，以此来改进数据同化和模型评估。文章特别关注如何量化超级观测值的不确定性，这包括考虑空间误差相关性和代表性误差等因素。研究者提出了一种详细的方法来计算这些不确定性，并将其应用于MOMO-Chem数据同化系统中，结果表明改进后的方法能够提升预报精度。该方法具有普适性，可应用于其他痕量气体（如HCHO，CO，SO2）及其他卫星传感器（例如OMI，GEMS和TEMPO）。总而言之，该研究通过改进数据处理方法，提高了卫星观测数据在空气质量监测和数值预报中的应用价值。,"['Nitrogen Dioxide (NO2)', 'Tropospheric trace gases', 'Satellite remote sensing', 'Air quality monitoring', 'Data assimilation', 'Model evaluation', 'TROPOMI', 'Sentinel-5P', 'MOMO-Chem']",Pieter Rijsdijk;Henk Eskes;Arlene Dingemans;K. Folkert Boersma;Takashi Sekiya;Kazuyuki Miyazaki;Sander Houweling,Quantifying uncertainties in satellite NO2 superobservations for data assimilation and model evaluation,"Clustering high-resolution satellite observations into superobservations improves model validation and data assimilation applications. In our paper, we derive quantitative uncertainties for satellite NO2 column observations based on knowledge of the retrievals, including a detailed analysis of spatial error correlations and representativity errors. The superobservations and uncertainty estimates are tested in a global chemical data assimilation system and are found to improve the forecasts. 
 Satellite observations of tropospheric trace gases and aerosols are evolving rapidly. Recently launched instruments provide increasingly higher spatial resolutions, with footprint diameters in the range of 2–8 km and with daily global coverage for polar orbiting satellites or hourly observations from geostationary orbits. Often the modelling system has a lower spatial resolution than the satellites used, with a model grid size in the range of 10–100 km. When the resolution mismatch is not properly bridged, the final analysis based on the satellite data may be degraded. Superobservations are averages of individual observations matching the model's resolution and are functional to reduce the data load on the assimilation system. In this paper, we discuss the construction of superobservations, their kernels, and uncertainty estimates. The methodology is applied to nitrogen dioxide tropospheric column measurements of the TROPOspheric Monitoring Instrument (TROPOMI) instrument on the Sentinel-5P satellite. In particular, the construction of realistic uncertainties for the superobservations is non-trivial and crucial to obtaining close-to-optimal data assimilation results. We present a detailed methodology to account for the representation error when satellite observations are missing due to, e.g., cloudiness. Furthermore, we account for systematic errors in the retrievals leading to error correlations between nearby individual observations contributing to one superobservation. Correlation information is typically missing from the retrieval products, where an error estimate is provided for individual observations. The various contributions to the uncertainty are analysed from the spectral fitting and the estimate of the stratospheric contribution to the column and the air mass factor for which we find a typical correlation length of 32 km. The method is applied to TROPOMI data but can be generalized to other trace gases such as HCHO, CO, and SO2 and other instruments such as the Ozone Monitoring Instrument (OMI), the Geostationary Environment Monitoring Spectrometer (GEMS), and the Tropospheric Emissions: Monitoring of POllution (TEMPO) instrument. The superobservations and uncertainties are tested in the Multi-mOdel Multi-cOnstituent Chemical (MOMO-Chem) data assimilation ensemble Kalman filter system. These are shown to improve forecasts compared to thinning or compared to assuming fully correlated or uncorrelated uncertainties within the superobservation. The use of realistic superobservations within model comparisons and data assimilation in this way aids the quantification of air pollution distributions, emissions, and their impact on climate."
10.1021/acs.est.4c08855,True,Environmental Science & Technology,这篇论文介绍了一种用于提高密集空气质量监测网络精度的可扩展校准方法。研究使用了伯克利环境空气质量和二氧化碳网络（BEACO2N），该网络在城市中部署了数十个传感器，测量O3、CO、NO、NO2、PM2.5和CO2等多种大气成分。论文重点在于提出一种低成本的现场校准方法，该方法利用网络中浓度一致的时期进行校准，以降低运营成本。实验结果表明，该方法能够在温度、湿度和浓度方面实现高精度和低偏差，对O3、NO2和NO的校准效果良好。该研究与大气环境遥感技术密切相关，因为它关注的是地面传感器网络的空气质量监测，并致力于提高监测数据的准确性和降低运营成本，这对于大规模的空气质量监测网络至关重要。,"['air quality monitoring', 'sensor networks', 'ground-based sensors', 'O3', 'CO', 'NO', 'NO2', 'PM2.5', 'CO2', 'calibration', 'in situ measurements']",Anna R. Winter;Yishu Zhu;Naomi G. Asimow;Milan Y. Patel;Ronald C. Cohen,A Scalable Calibration Method for Enhanced Accuracy in Dense Air Quality Monitoring Networks,"Deployment of large numbers of low capital cost sensors to increase the spatial density of air quality measurements enables applications that build on mapping air at neighborhood scales. Effective deployment requires not only low capital costs for observations but also a simultaneous reduction in labor costs. The Berkeley Environmental Air Quality and CO2 Network (BEACO2N) is a sensor network measuring O3, CO, NO, and NO2, particulate matter (PM2.5), and CO2 at dozens of locations in cities where it is deployed. Here, we describe a low labor cost in situ field calibration for the BEACO2N O3, CO, NO, and NO2 sensors. This method identifies and leverages uniform periods in concentrations across the network for calibration. The calibration achieves high accuracy and low biases with respect to temperature, humidity, and concentration, with coefficients of determination and root mean square errors of 0.88 and 3.70 ppb for O3, 0.66 and 3.16 ppb for NO2, and 0.79 and 1.58 ppb for NO. Performance of the CO sensor is 0.90 and 33.3 ppb at a site colocated with reference measurements. The method is a crucial step toward lowering operational costs of delivering accurate measurements in dense networks employing large numbers of inexpensive air quality sensors."
10.1021/acs.est.4c09615,True,Environmental Science & Technology,这篇论文研究了东亚地区空气中细颗粒物PM2.5的化学成分、来源及其与环境条件的关系。研究人员在黄海地区的观测站收集了16个月的PM2.5样本，并使用非靶向质谱分析技术对水提取物中的有机物和无机物进行了定性和定量分析。他们鉴定出大量的化合物，包括含氧有机物、含氮/氧有机物、有机硫酸盐和磺酸盐等，并利用多元模型分析了不同季节PM2.5化学成分的差异，发现夏季受海洋来源影响较大，冬季则主要受中国大陆地区的影响。虽然文章没有直接提及卫星遥感技术，但其对PM2.5化学成分的深入分析和来源解析，为利用遥感技术进行大气环境监测和空气质量评估提供了重要的基础数据和科学依据。研究结果可以用于改进大气化学模型，提高空气质量预测的准确性，并为制定更有效的环境政策提供支持。,"['Air quality monitoring', 'Atmospheric composition analysis', 'PM2.5 chemical composition', 'Source apportionment', 'Multivariate analysis', 'Ground-based observation']",Jean Froment;Jong-Uk Park;Sang-Woo Kim;Yoonjin Cho;Soobin Choi;Young Hun Seo;Seungyun Baik;Ji Eun Lee;Jonathan W. Martin,Exploring the Chemical Complexity and Sources of Airborne Fine Particulate Matter in East Asia by Nontarget Analysis and Multivariate Modeling,"The complex and dynamic nature of airborne fine particulate matter (PM2.5) has hindered understanding of its chemical composition, sources, and toxic effects. In the first steps of a larger study, here, we aimed to elucidate relationships between source regions, ambient conditions, and the chemical composition in water extracts of PM2.5 samples (n = 85) collected over 16 months at an observatory in the Yellow Sea. In each extract, we quantified elements and major ions and profiled the complex mixtures of organic compounds by nontarget mass spectrometry. More than 50,000 nontarget features were detected, and by consensus of in silico tools, we assigned a molecular formula to 13,907 features. Oxygenated compounds were most prominent, followed by mixed nitrogenated/oxygenated compounds, organic sulfates, and sulfonates. Spectral matching enabled identification or structural annotation of 43 substances, and a workflow involving SIRIUS and MS-DIAL software enabled annotation of 74 unknown per- and polyfluoroalkyl substances with primary source regions in China and the Korean Peninsula. Multivariate modeling revealed seasonal variations in chemistry, attributable to the combination of warmer temperatures and maritime source regions in summer and to cooler temperatures and source regions of China in winter."
10.1021/acsestair.4c00231,True,ACS ES&T Air,这篇论文研究了美国东南部地区处方焚烧产生的烟雾中臭氧(O3)和PM2.5的形成及其随时间变化的关系。研究使用了2021年至2024年期间的地面测量数据，分析了69个烟羽事件。结果表明，在光化学活跃时期(12:00-18:00)，烟羽中臭氧和PM2.5的生成频繁发生，并且两者之间存在正相关关系。臭氧与一氧化碳的比值(ΔO3/ΔCO)和PM2.5质量与一氧化碳的比值(ΔPM2.5 mass/ΔCO)都随着烟羽老化时间的增加而增加，但臭氧的增加趋势更为明显。夜间测量的烟羽中，PM2.5的浓度变化较小。研究还发现，处方焚烧季节，燃烧区域附近的空气质量监测点PM2.5浓度比非燃烧季节高25%-30%，而臭氧浓度的变化相对较小。这项研究与大气环境遥感技术密切相关，因为它利用地面测量数据研究大气成分(臭氧和PM2.5)的变化，并探讨了处方焚烧对空气质量的影响，这与空气质量监测和卫星观测等遥感应用直接相关。,"['Ozone', 'PM2.5', 'Air quality monitoring', 'Ground-based measurements', 'Prescribed burning', 'Atmospheric composition', 'Southeastern United States']",Rime El Asmar;Zongrun Li;Haofei Yu;Susan O’Neill;David J. Tanner;L. Gregory Huey;M. Talat Odman;Rodney J. Weber,Formation of Ozone and PM2.5 in Smoke from Prescribed Burning in the Southeastern United States,"Ground-based measurements of smoke from prescribed fires in the southeastern US during the burning seasons of 2021 through 2024 are used to assess ozone (O3) and PM2.5 mass formation and their changes with age in 69 smoke events. O3 production occurred in nearly all plumes (31 out of 32) measured between 12:00 and 18:00. The O3 to carbon monoxide ratio (ΔO3/ΔCO) increased from 5.32 to 143 ppb ppm–1 as plumes aged from 1 to 480 min, showing a rapid initial increase, doubling in approximately 60 min, followed by a gradual slow down. Residual O3 from daytime fires was detected during the evening and night, disrupting the typical nighttime O3 pattern. The ΔPM2.5 mass/ΔCO ratio ranged from 40.6 to 466 μg m–3 ppm–1. Little age-related change was observed in smoke measured at night with ΔPM2.5 mass/ΔCO levels similar to those observed at the time of emissions (132 μg m–3 ppm–1). However, in plumes of observed O3 enhancement during photochemically active periods (12:00–18:00), ΔPM2.5 mass/ΔCO followed a similar increasing trend as ΔO3/ΔCO, and the two were correlated (r2 = 0.5), although the O3 trend was more pronounced. For these data, a stronger correlation between ΔPM2.5 mass/ΔCO and age was found in plumes of higher PM2.5 concentration (PM2.5 mass > 35 μg m–3). The impact of the prescribed burning season in the southeast was evident in state-operated air quality monitors near burning areas, where PM2.5 mass concentrations were 25–30% higher than nonburning seasons. In contrast, changes in daily maximum 8 h O3 concentrations were less pronounced. Our data indicates that the formation of both O3 and PM2.5 frequently occurred in smoke from prescribed fires during photochemically active periods in the studied regions. These findings are significant, as exposure to O3 and PM2.5 can negatively impact human health."
