doi,journal,is_relevant,topic_words,title,abstract,authors,explanation
10.1088/1748-9326/ad6f2b,Environmental Research Letters,False,[],Synchronous spring precipitation in Southeastern China and Bengal: a potential indicator for the Indian summer monsoon?,"Spring precipitation in southeastern China and Bengal, occurring during the transitional phase from winter to summer monsoons, serves as a critical window into the dynamics of large-scale circulations and the subsequent summer monsoon. While many studies have analyzed spring precipitation in southeastern China and Bengal, their interconnections and implications for the summer monsoon have remained relatively under explored. We utilized the Empirical Orthogonal Function of spring precipitation to reveal Synchronous Spring Precipitation (SSP) in southeastern China and Bengal. This synchronicity is bridged by the East Asian Subtropical Jet (EASJ) that extends from Bengal to southeastern China. The EASJ was predominantly correlated with precipitation in southeastern China prior to the 1990s, while it developed a more profound connection with precipitation in Bengal after the 1990s. Notably, SSP anomalies occurred during the developing phase of the El Niño-Southern Oscillation (ENSO). The predictive capacity of SSP for the Indian summer monsoon (ISM) amplifies during periods of the intensified SSP-ENSO correlations and positive phase of the North Pacific Meridional Mode. Tree-ring based reconstructions spanning the past two centuries further corroborate the persistent linkages among the SSP, ISM, and ENSO. Our research sheds light on the intricate interplay of these factors and their significance in understanding and predicting the monsoon dynamics in the region.",Keyan Fang;Feifei Zhou;Hao Wu;Hui Tang;Zepeng Mei;Jinbao Li;Tinghai Ou;Zheng Zhao;Deliang Chen,这篇论文主要研究了中国东南和孟加拉地区的春季降水与印度夏季风之间的关系。研究利用经验正交函数分析春季降水，发现中国东南和孟加拉地区的春季降水存在同步性，并与东亚副热带急流和厄尔尼诺-南方涛动有关。论文探讨了春季降水同步性对印度夏季风的预测能力，并利用树木年轮重建了过去两个世纪的降水变化，进一步验证了春季降水、印度夏季风和厄尔尼诺-南方涛动之间的联系。论文没有涉及大气环境遥感技术，例如空气质量监测、卫星观测和大气成分分析。
10.1088/1748-9326/ad6f2c,Environmental Research Letters,False,"['typhoon frequency', 'western North Pacific', 'seasonal forecasting', 'machine learning', 'ensemble prediction']",Ensemble seasonal forecasting of typhoon frequency over the western North Pacific using multiple machine learning algorithms,"This study introduces an ensemble prediction methodology employing multiple machine learning algorithms for forecasting the frequency of typhoons (TYFs) over the western North Pacific (WNP) during June‒November. Potential predictors were initially identified based on the relationships between the year-by-year variation (DY) of the TYFs and preseason (March–May) environmental factors. These predictors were subsequently further refined, resulting in the selection of eight key predictors. Prediction models were constructed using twenty machine learning algorithms, utilizing data from 1965 to 2010. These trained models were then applied to perform hindcasts of TYFs from 2011 to 2023. The forecasted DY was added to the observed TYF of the preceding year to obtain the current year’s TYF. The results indicate that the TYFs predicted by the multi-model ensemble (MME) closely align with the observation during the hindcast period. Compared to individual models, the MME improves the prediction skill for the DY by at least 5.56% and up to 56.92%. Furthermore, the mean bias of the MME for TYF is notably smaller than that of the ECMWF’s most recent seasonal forecasting system (SEAS5) in the years of 2017‒2023. The superior performance of the ensemble prediction approach was also validated through leave-one-out cross-validation. This research underscores the potential of ensemble prediction approach utilizing multiple machine learning algorithms to improve the forecasting skill of TYF over the WNP.",Zhixiang Xiao;Ziqian Wang;Xiaoli Luo;Cai Yao,该研究主要关注西太平洋台风频率的季节性预测，使用多种机器学习算法构建集成预测模型。研究重点在于利用气象数据和机器学习技术来预测台风频率，并没有涉及大气环境遥感技术，例如空气质量监测、卫星观测或大气成分分析。
10.1088/1748-9326/ad6fbb,Environmental Research Letters,False,"['tropical cyclone', 'extreme rainfall', 'numerical weather prediction', 'AI model', 'Pangu-Weather', 'WRF model']",Evaluating AI’s capability to reflect physical mechanisms: a case study of tropical cyclone impacts on extreme rainfall,"Tropical cyclones not only induce extreme precipitation events but also exert indirect influences on precipitation, a factor often underestimated in forecasting. Traditionally, these influences are identified using numerical sensitivity experiments with numerical models like the Weather Research and Forecasting (WRF) model, which require substantial computational resources. This study investigates the potential of the Artificial intelligence (AI)-based Pangu-Weather model to reveal these complex mechanisms by comparing its performance with the WRF model, focusing on Typhoon Khanun’s impact on the extreme rainfall event in North China from 29 July to 1 August 2023. Our analysis shows that Pangu-Weather effectively captures key atmospheric systems and TC positions, outperforming WRF. Specifically, WRF simulations excluding Khanun demonstrate a reduction in northward moisture transport on the eastern side of North China, but minimal impact on the extreme precipitation area for most of the period. Pangu-Weather successfully reproduces these processes, aligning closely with WRF at larger scales (e.g. greater than 300 km). However, Pangu-Weather struggles to discern and explain smaller-scale processes (e.g. less than 300 km). These findings highlight Pangu-Weather’s potential to advance meteorological research and disaster prevention, demonstrating AI’s capability to accurately depict complex large-scale physical processes.",Hongxiong Xu;Yihong Duan;Xiangde Xu,该研究主要关注的是利用人工智能模型（Pangu-Weather）来模拟台风对极端降雨的影响，并与传统的数值天气预报模型（WRF）进行比较。研究重点在于评估AI模型在模拟台风诱发降雨的物理机制方面的能力，而不是直接利用遥感技术进行大气环境监测。
10.1088/1748-9326/ad7040,Environmental Research Letters,False,"['crop yield', 'climate change', 'breadbasket regions', 'abiotic stress', 'statistical models']",Observed trends in multiple breadbasket yield shocks,"Extreme climate events in breadbasket regions have become more frequent due to climate change, exposing crops to a greater frequency and intensity of abiotic stress. But by using observed crop yield statistics and an ensemble of statistical models, we demonstrate that over the last six decades the frequency of crop yield shocks in breadbasket regions has been decreasing due to both climate and non-climate factors. Here non-climate factors refer to interannual variability unrelated to abiotic stress, such as biotic stress and management decisions. We find that although the risk posed by extreme heat to crop yields has been increasing, this risk has been offset by changes to precipitation, extremely cold days, and average growing season temperature in many breadbaskets. As a result, total climate-related crop yield shocks have been decreasing for soybeans and wheat, while they have remained roughly constant for maize. Meanwhile, non-climate risks to crop yields have decreased in nearly every breadbasket region across crops. Because non-climate risks have decreased faster than climate risks, we find that the climate accounts for a greater proportion of crop yield shocks in the recent period (1991–2020) compared to an earlier period (1961–90). Our results indicate that extreme climate events are more important than ever to the relative stability of the food production system, even as the overall frequency of multiple breadbasket yield shocks decreases.",Xuan Chen;Weston Anderson;Liangzhi You;Edward Pope,该研究主要关注气候变化对全球主要粮食产区（面包篮地区）作物产量的影响。研究者利用统计模型分析了近几十年来作物产量波动趋势，发现尽管极端高温对作物产量构成越来越大的风险，但降水、极端低温和平均生长季温度的变化抵消了这一风险，导致整体作物产量冲击频率下降。研究还指出，非气候因素（如生物胁迫和管理决策）对作物产量的影响也在下降。因此，该研究侧重于气候变化和非气候因素对作物产量的影响，与大气环境遥感技术关系不大。
10.1088/1748-9326/ad7044,Environmental Research Letters,False,"['blue carbon', 'carbon sinks', 'coastal ecosystems']",Rethinking blue carbon: unlocking invisible carbon sinks,,Tzong-Yueh Chen;Jian-Jhih Chen;Wen-Chen Chou,这篇论文的标题和摘要表明它关注的是“蓝碳”，即海洋和沿海生态系统中的碳储存。它可能涉及研究这些生态系统如何吸收和储存大气中的二氧化碳，以及如何保护和恢复这些生态系统以应对气候变化。论文并没有直接提到大气环境遥感技术，例如空气质量监测、卫星观测或大气成分分析。
10.1088/1748-9326/ad7046,Environmental Research Letters,False,[],Linkage of El Niño-Southern Oscillation to astronomic forcing,"Deciphering the causes of El Niño-Southern Oscillation (ENSO) represents one of the greatest scientific and societal challenges because ENSO impacts people’s safety, food, water, health, and economy. Traditionally, ENSO has been considered a phenomenon that is mostly influenced by the interactions between oceanic and atmospheric processes, i.e. by the internal variability in Earth’s ocean-atmosphere system. However, dendrochronological records of climate indices, ENSO among them, have statistically significant variance at periodicities related to solar activity (sunspots) and lunar precessions. Other studies indicate a modulation by the lunar nodal cycle of ocean’s mixing and its implications on water and air temperatures, steric sea levels, coastal flooding, rain, river discharge and heat transport. Those findings suggest that astronomic forces may influence ENSO. In fact, this study shows that a fit to well-established periodicities from lunar precessions, solar activity and their interactions explains 91% of the variance of an ENSO index smoothed at 5 years, and 67% of a 3 yr filtered ENSO index. Provided that the future Earth’s ocean-atmospheric system remains roughly within historical bounds under a changing climate in the next 2–3 decades, one can venture a projection into the future of 3- and 5 yr smoothed ENSO variability. Such projection is given here and might help in preparations for adaptation and mitigation measures caused by ENSO-related coastal hazards.",Arnoldo Valle-Levinson,这篇论文主要探讨了厄尔尼诺-南方涛动 (ENSO) 与天文因素之间的联系。研究表明，月球岁差、太阳活动及其相互作用的周期性变化可以解释 ENSO 指数 5 年平滑后的 91% 和 3 年滤波后的 67% 的方差。论文还预测了未来 3 年和 5 年平滑后的 ENSO 变异性，并指出这些预测可以帮助人们制定适应和缓解措施，应对 ENSO 相关的沿海灾害。论文没有涉及大气环境遥感技术，如空气质量监测、卫星观测和大气成分分析。
10.5194/acp-24-9419-2024,Atmospheric Chemistry and Physics,True,"['carbon flux', 'data assimilation', '4D-Var', 'uncertainty quantification', 'observing system simulation']",Technical note: Posterior uncertainty estimation via a Monte Carlo procedure specialized for 4D-Var data assimilation,"To serve the uncertainty quantification (UQ) needs of 4D-Var data assimilation (DA) practitioners, we describe and justify a UQ algorithm from carbon flux inversion and incorporate its sampling uncertainty into the final reported UQ. The algorithm is mathematically proved, and its performance is shown for a carbon flux observing system simulation experiment. These results legitimize and generalize this algorithm's current use and make available this effective algorithm to new DA domains. 
 Through the Bayesian lens of four-dimensional variational (4D-Var) data assimilation, uncertainty in model parameters is traditionally quantified through the posterior covariance matrix. However, in modern settings involving high-dimensional and computationally expensive forward models, posterior covariance knowledge must be relaxed to deterministic or stochastic approximations. In the carbon flux inversion literature, (Chevallier et al., 2007) proposed a stochastic method capable of approximating posterior variances of linear functionals of the model parameters that is particularly well suited for large-scale Earth-system 4D-Var data assimilation tasks. This note formalizes this algorithm and clarifies its properties. We provide a formal statement of the algorithm, demonstrate why it converges to the desired posterior variance quantity of interest, and provide additional uncertainty quantification allowing incorporation of the Monte Carlo sampling uncertainty into the method's Bayesian credible intervals. The methodology is demonstrated using toy simulations and a realistic carbon flux inversion observing system simulation experiment.",Michael Stanley;Mikael Kuusela;Brendan Byrne;Junjie Liu,这篇技术说明介绍了一种用于四维变分（4D-Var）数据同化的不确定性量化算法，该算法特别适用于碳通量反演。该算法基于蒙特卡罗方法，能够近似估计模型参数线性泛函的后验方差。文章证明了算法的数学原理，并通过一个碳通量观测系统模拟实验展示了其性能。该研究有助于将这种有效算法推广到其他数据同化领域，并为大气环境遥感领域，特别是碳循环研究提供更准确的碳通量估计和不确定性评估。
10.5194/acp-24-9387-2024,Atmospheric Chemistry and Physics,True,"['aerosol', 'hygroscopic growth', 'activation', 'cloud processing', 'fog', 'air quality', 'composition', 'satellite observation', 'remote sensing']",Hygroscopic growth and activation changed submicron aerosol composition and properties in the North China Plain,"We deployed an advanced aerosol–fog sampling system at a rural site in the North China Plain to investigate impacts of aerosol hygroscopic growth and activation on the physicochemical properties of submicron aerosols. Observed results highlighted remarkably different aqueous processing of primary and secondary submicron aerosol components under distinct ambient relative humidity (RH) conditions and that RH levels significantly impact aerosol sampling through the aerosol swelling effect. 
 Aerosol hygroscopic growth and activation under high-relative-humidity (RH) conditions significantly influence the physicochemical properties of submicron aerosols (PM1). However, this process remains poorly characterized due to limited measurements. To address this gap, we deployed an advanced aerosol–fog sampling system that automatically switched between PM1, PM2.5 and total suspended particulate (TSP) inlets at a rural site in the North China Plain in the cold season. The results revealed that aerosol swelling due to water vapor uptake influenced aerosol sampling under high-RH conditions by shifting the cut-off size of impactors. At subsaturated high RH (> 90 %), over 25 % of aerosol mass with dry diameters below 1 µm resided in supermicron ranges, while in supersaturated foggy conditions, more than 70 % of submicron aerosol migrated to supermicron ranges. Hygroscopic growth and activation particularly affected highly hydrophilic inorganic salts,  shifting a significant number of submicron sulfate and nitrate particles to supermicron ranges, with 27 %–33 % at 95 % ≤ RH ≤ 99 % and more than 78 % under supersaturated foggy conditions. Moreover, more than 10 % of submicron biomass burning organic aerosols grew beyond 2.5 µm during fog events, while fossil-fuel-related organic aerosol (FFOA) remained dominantly in submicron ranges, suggesting inefficient aqueous conversion of FFOA. The two secondary organic aerosol (SOA) factors (OOA1 and OOA2) behaved differently under supersaturated conditions, with OOA2 exhibiting a higher activated fraction despite a lower oxygen / carbon ratio. A substantial increase in organic nitrate and organosulfur mass concentrations in activated droplets during fog events suggested aqueous conversions and formations of brown carbon with potential radiative impacts. Overall, our study highlights remarkably different cloud and fog processing behaviors between primary and secondary aerosols, which would benefit a better understanding of aerosol–cloud interactions under distinct atmospheric conditions.",Weiqi Xu;Ye Kuang;Wanyun Xu;Zhiqiang Zhang;Biao Luo;Xiaoyi Zhang;Jiangchuang Tao;Hongqin Qiao;Li Liu;Yele Sun,该研究主要关注了北华平原地区亚微米气溶胶在不同相对湿度条件下的吸湿增长和活化过程，以及该过程对气溶胶物理化学性质的影响。研究发现，高湿度条件下，气溶胶的吸湿增长和活化会导致气溶胶粒径发生显著变化，并影响气溶胶的采样。研究还发现，不同来源的气溶胶在云雾处理过程中表现出不同的行为，例如，生物质燃烧有机气溶胶在雾事件期间更容易被活化，而化石燃料相关有机气溶胶则主要保持在亚微米范围内。研究结果表明，气溶胶的吸湿增长和活化对气溶胶-云相互作用具有重要影响，这对于理解不同大气条件下的气溶胶-云相互作用具有重要意义。
10.5194/essd-16-3873-2024,Earth System Science Data,False,"['digital elevation model (DEM)', 'floodplain delineation', 'hydrological modeling', 'remote sensing', 'spatial heterogeneity']",SHIFT: a spatial-heterogeneity improvement in DEM-based mapping of global geomorphic floodplains,"We develop a globally applicable thresholding scheme for DEM-based floodplain delineation to improve the representation of spatial heterogeneity. It involves a stepwise approach to estimate the basin-level floodplain hydraulic geometry parameters that best respect the scaling law while approximating the global hydrodynamic flood maps. A ~90 m resolution global floodplain map, the Spatial Heterogeneity Improved Floodplain by Terrain analysis (SHIFT), is delineated with demonstrated superiority. 
 Floodplains are a vital part of the global riverine system. Among all the global floodplain delineation strategies empowered by remote sensing, digital elevation model (DEM)-based delineation is considered to be computationally efficient with relatively low uncertainties, but the parsimonious model struggles with incorporating the basin-level spatial heterogeneity of the hydrological and geomorphic influences into the map. In this study, we propose a globally applicable thresholding scheme for DEM-based floodplain delineation to improve the representation of spatial heterogeneity. Specifically, we develop a stepwise approach to estimate the floodplain hydraulic geometry (FHG) scaling parameters for river basins worldwide at the scale of the level-3 HydroBASINS to best respect the scaling law while approximating the spatial extent of two publicly available global flood maps derived from hydrodynamic modeling. The estimated FHG exponent exhibits a significant positive relationship with the basins' hydroclimatic conditions, particularly in 33 of the world's major river basins, indicating the ability of the approach to capture fingerprints from heterogeneous hydrological and geomorphic influences. Based on the spatially varying FHG parameters, a ∼ 90 m resolution global floodplain map named the Spatial Heterogeneity Improved Floodplain by Terrain analysis (SHIFT) is delineated, which takes the hydrologically corrected MERIT Hydro dataset as the DEM inputs and the height above nearest drainage (HAND) as the terrain attribute. Our results demonstrate that SHIFT validates better with reference maps than both hydrodynamic-modeling- and DEM-based approaches with universal parameters. The improved delineation mainly includes better differentiation between main streams and tributaries in major basins and a more comprehensive representation of stream networks in aggregated river basins. SHIFT estimates the global floodplain area to be 9.91×106 km2, representing 6.6 % of the world's total land area. SHIFT data layers are available at two spatial resolutions (90 m and 1 km), along with the updated parameters, at https://doi.org/10.5281/zenodo.11835133 (Zheng et al., 2024). We anticipate that SHIFT will be used to support applications requiring boundary delineations of the global geomorphic floodplains.",Kaihao Zheng;Peirong Lin;Ziyun Yin,该论文主要研究利用数字高程模型（DEM）进行全球地貌洪泛区划分的技术，并提出了一种改进的方案，名为 SHIFT，以提高对空间异质性的表示。论文中使用了遥感技术，但主要集中在利用 DEM 数据进行洪泛区识别，而不是大气环境遥感技术，如空气质量监测、卫星观测和大气成分分析。
10.5194/essd-16-3851-2024,Earth System Science Data,False,[],Early-life dispersal traits of coastal fishes: an extensive database combining observations and growth models,"We build a compilation of early-life dispersal traits for coastal fish species. The database contains over 110 000 entries collected from 1993 to 2021 in the western Mediterranean. All observations are harmonized to provide information on dates and locations of spawning and settlement, along with pelagic larval durations. When applicable, missing data are reconstructed from dynamic energy budget theory. Statistical analyses reveal sampling biases across taxa, space and time. 
 Early-life stages play a key role in the dynamics of bipartite life cycle marine fish populations. Difficult to monitor, observations of these stages are often scattered in space and time. While Mediterranean coastlines have often been surveyed, no effort has been made to assemble historical observations. Here we build an exhaustive compilation of dispersal traits for coastal fish species, considering in situ observations and growth models (Di Stefano et al., 2023; https://doi.org/10.17882/91148).Our database contains over 110 000 entries collected from 1993 to 2021 in various subregions. All observations are harmonized to provide information on dates and geolocations of both spawning and settlement, along with pelagic larval durations. When applicable, missing data and associated confidence intervals are reconstructed from dynamic energy budget theory.Statistical analyses allow traits’ variability to be revisited and sampling biases to be revealed across taxa, space and time, hence providing recommendations for future studies and sampling. Comparison of observed and modelled entries provides suggestions to improve the feed of observations into models. Overall, this extensive database is a crucial step to investigate how marine fish populations respond to global changes across environmental gradients.",Marine Di Stefano;David Nerini;Itziar Alvarez;Giandomenico Ardizzone;Patrick Astruch;Gotzon Basterretxea;Aurélie Blanfuné;Denis Bonhomme;Antonio Calò;Ignacio Catalan;Carlo Cattano;Adrien Cheminée;Romain Crec'hriou;Amalia Cuadros;Antonio Di Franco;Carlos Diaz-Gil;Tristan Estaque;Robin Faillettaz;Fabiana C. Félix-Hackradt;José Antonio Garcia-Charton;Paolo Guidetti;Loïc Guilloux;Jean-Georges Harmelin;Mireille Harmelin-Vivien;Manuel Hidalgo;Hilmar Hinz;Jean-Olivier Irisson;Gabriele La Mesa;Laurence Le Diréach;Philippe Lenfant;Enrique Macpherson;Sanja Matić-Skoko;Manon Mercader;Marco Milazzo;Tiffany Monfort;Joan Moranta;Manuel Muntoni;Matteo Murenu;Lucie Nunez;M. Pilar Olivar;Jérémy Pastor;Ángel Pérez-Ruzafa;Serge Planes;Nuria Raventos;Justine Richaume;Elodie Rouanet;Erwan Roussel;Sandrine Ruitton;Ana Sabatés;Thierry Thibaut;Daniele Ventura;Laurent Vigliola;Dario Vrdoljak;Vincent Rossi,该研究主要关注地中海沿岸鱼类早期生命阶段的扩散特征，收集了1993年至2021年间超过11万条记录，包括产卵和定居的时间和地点，以及浮游幼虫的持续时间。研究还利用动态能量预算理论重建了缺失数据，并分析了不同分类群、空间和时间上的采样偏差。该研究与大气环境遥感技术关系不大，主要关注海洋生物学和生态学领域。
