doi,is_relevant,journal,explanation,topic_words,authors,title,abstract
10.1021/acs.est.5c06944,False,Environmental Science & Technology,该论文主要探讨电动汽车通过车网互动技术（Vehicle-to-Grid）来激励风能和太阳能投资，从而抵消电动汽车充电产生的排放。虽然涉及排放，但核心在于能源经济和政策，而非大气环境遥感技术。因此，与大气环境遥感技术（如空气质量监测、卫星观测和大气成分分析）没有直接关联。,[],Jiahui Chen;Michael T. Craig;Jeremy Michalek;Matthew Bruchon;Parth Vaishnav,Negative Electric Vehicle Emissions: Vehicle-to-Grid Can Incentivize Enough Wind and Solar Investment to Reverse EV Charging Emissions,
10.1021/acs.est.5c11717,False,Environmental Science & Technology,该论文主要关注臭氧基工艺中气液传质的重要性，强调其在反应动力学之外的关键作用。虽然臭氧与大气化学相关，但根据标题，该研究更侧重于工业应用，例如水处理，而非大气环境遥感技术，如空气质量监测或卫星观测大气成分分析。因此，它与大气遥感技术的关联性较弱。,"['ozone-based processes', 'gas-liquid mass transfer', 'reaction kinetics', 'water treatment', 'industrial applications']",Shikha Garg;Yuting Yuan;Zarak Mahmood;Qi Jiang;Yuan Wang;T. David Waite,Beyond Reaction Kinetics: The Overlooked Role of Gas–Liquid Mass Transfer in Ozone-Based Processes,
10.1021/acs.est.4c03459,False,Environmental Science & Technology,该论文的标题和摘要主要关注物理化学水处理技术对微生物的去除效果。 这与大气环境遥感技术（如空气质量监测、卫星观测和大气成分分析）没有直接关系。 因此，该论文不属于大气环境遥感技术的范畴。,[],Matthew Burke;Emma Wells;Caleb Larison;Gouthami Rao;Matthew James Bentley;Yarrow S. Linden;Patrick Smeets;Jennifer DeFrance;Joe Brown;Karl G. Linden,Systematic Review of Microorganism Removal Performance by Physiochemical Water Treatment Technologies,
10.1021/acsestair.5c00137,False,ACS ES&T Air,该研究论文主要关注多氯联苯（PCBs）同源物的共洗脱问题，并通过环境空气样本的案例研究来解决这一问题。虽然涉及空气样本，但其重点在于实验室分析方法和化学物质的精确测量，而非大气环境遥感技术，例如空气质量监测、卫星观测或大气成分分析。因此，它与大气环境遥感技术的关联性较弱。,"['Polychlorinated Biphenyls', 'PCBs', 'Air Samples', 'Environmental Monitoring', 'Congener Analysis']",Chelsea A. Weitekamp;Todd J. Zurlinden;Alexandra L. Lee;Alexis Lashbaugh;Kent Thomas;Rachel M. Shaffer;Andres Martinez;Rachel F. Marek;Keri C. Hornbuckle;Krista Christensen;Geniece M. Lehmann,Resolving Polychlorinated Biphenyl Congener Coelutions: A Case Study in Environmental Air Samples,
10.1021/envhealth.5c00262,False,Environment & Health,该研究主要关注孕期暴露于PM2.5对小鼠后代的影响，以及高脂饮食对这些后代的二次影响。虽然PM2.5是大气污染物，但研究重点在于生物医学方面，而非大气环境遥感技术的应用，例如空气质量监测、卫星观测或大气成分分析。因此，该研究与大气环境遥感技术的关联性较弱。,[],Limin Wang;Renjie Hu;Zhenghong Yao;Lu Zhang;Li Qin;Ran Li;Qinghua Sun;Cuiqing Liu,Prenatal Exposure to PM2.5 Increased Vulnerability to a Second Hit of a High-Fat Diet in Mouse Offspring,
10.1021/envhealth.5c00323,False,Environment & Health,该论文的标题和摘要主要关注环境毒理学领域，特别是通过新的方法学（New Approach Methodologies）来推进环境毒理学的发展，并关注政策到实践的转化。它与大气环境遥感技术，如空气质量监测、卫星观测和大气成分分析等，没有直接关联。论文的核心在于毒理学方法的革新和实际应用，而非大气环境的观测或分析。,"['environmental toxicology', 'new approach methodologies', 'policy', 'practice']",Huan Wang;Ting Xu;Daqiang Yin,From Policy to Practice: Advancing Environmental Toxicology through New Approach Methodologies,
10.1021/envhealth.5c00087,False,Environment & Health,该论文的标题和摘要主要关注微塑料和纳米塑料对神经系统的毒性影响，特别是对中枢神经系统的影响。它与大气环境遥感技术（如空气质量监测、卫星观测和大气成分分析）没有直接关系。因此，该论文不属于大气环境遥感技术领域。,[],Qianwen Ma;Jialin Lei;Yanting Pang;Yu Shen;Ting Zhang,Neurotoxicity of Micro- and Nanoplastics: A Comprehensive Review of Central Nervous System Impacts,
10.1021/envhealth.5c00157,False,Environment & Health,该研究主要关注PM2.5的单颗粒元素特征及其对肺部健康的潜在风险，通过分析PM2.5的成分来评估其对人体健康的影响。虽然与空气质量监测相关，但更侧重于微观层面的颗粒物成分分析及其生物效应，而非大气环境遥感技术，如卫星观测或大气成分分析。,"['PM2.5', 'single particle analysis', 'elemental composition', 'pulmonary health risks', 'air quality']",Mengyuan Wang;Zuoshun Niu;Xiaojing Yang;Miao Xu;Bo Peng;Zhiqiang Shi;Zhiyan Wang;Songda Li;Yunqi Zhang;Hui Zhao;Xinran Ma;Yi Yang,Are “Clean” Days Really Clean? Single Particle Elemental Signatures of PM2.5 Unveil Their Pulmonary Health Risks,
10.1021/envhealth.5c00162,False,Environment & Health,该研究的标题和摘要表明，它主要关注的是全氟烷基和多氟烷基物质（PFAS）的毒性以及一种名为CpG的表观遗传开关如何逆转这种毒性。这是一个体外研究，意味着它是在实验室环境中进行的，而不是在大气环境中。因此，该研究与大气环境遥感技术（如空气质量监测、卫星观测和大气成分分析）没有直接关系。虽然PFAS可能存在于环境中，包括大气中，但这项研究的重点是其毒理学机制，而不是其在大气中的分布或遥感监测。,[],Mia Sands;Yi Wen;Arshveer Sachdeva;Joseph Irudayaraj,A CpG Epigenetic Switch Reverts PFAS Toxicity─An In Vitro Study,
10.1021/envhealth.5c00345,False,Environment & Health,该论文的标题和摘要主要关注微生物暴露途径和环境指标的局限性。虽然环境指标可能与大气环境监测相关，但重点在于微生物，而不是大气成分分析、卫星观测或空气质量监测等大气环境遥感技术。因此，该论文与大气环境遥感技术的关联性较弱，更侧重于微生物学和环境健康领域。,[],Chutharat Thanchonnang;Schawanya Kaewpitoon Rattanapitoon;Natnapa Heebkaew Padchasuwan;Nathkapach Kaewpitoon Rattanapitoon,Invisible Gaps: Reflections on Microbial Exposure Pathways and the Limits of Environmental Indicators,
